employment_status,employment_status,n,actual_rate,predicted_positive_rate,avg_score,tpr,fpr,precision,predicted_positive_rate_parity,tpr_parity,fpr_parity,flag_ppr_80pct,flag_tpr_80pct,flag_fpr_125pct
0,0,218675,0.012219,0.020272,0.023886,0.287051,0.016972,0.173021,0.667866,1.0,74.637139,True,False,True
1,1,41849,0.006954,0.0054,0.011279,0.123711,0.004572,0.159292,0.177916,0.430974,20.105796,True,True,True
5,5,13215,0.001665,0.000227,0.003742,0.0,0.000227,0.0,0.007479,0.0,1.0,True,True,False
2,2,11399,0.024564,0.030354,0.031493,0.257143,0.024643,0.208092,1.0,0.895809,108.369518,False,False,True
3,3,7902,0.00329,0.000506,0.00625,0.038462,0.000381,0.25,0.016677,0.133989,1.675089,True,True,True
4,4,6825,0.002344,0.000293,0.004485,0.0,0.000294,0.0,0.009654,0.0,1.291722,True,True,True
6,6,135,0.014815,0.007407,0.010558,0.0,0.007519,0.0,0.244038,0.0,33.065163,True,True,True
