feature,mean_abs_shap
income,0.9282234744102638
month,0.8971522508330734
date_of_birth_distinct_emails_4w,0.8326326020466307
customer_age,0.7305220100827325
housing_status,0.4878784842278949
bank_months_count,0.3923989099750936
bank_branch_count_8w,0.3818740104483514
phone_home_valid,0.3513341982731246
has_other_cards,0.34607040097441283
current_address_months_count,0.3446996416232383
proposed_credit_limit,0.3374629583101207
keep_alive_session,0.33215360696533125
employment_status,0.29885674826112424
device_os,0.29520082747866905
name_email_similarity,0.26786810382577925
email_is_free,0.25681550453851526
intended_balcon_amount,0.2329660450591942
prev_address_months_count,0.13462564619580158
days_since_request,0.1299724532157332
zip_count_4w,0.11668678437873971
credit_risk_score,0.10967631341288024
payment_type,0.1061609473482772
session_length_in_minutes,0.09984717403584503
velocity_4w,0.09073035245849605
velocity_24h,0.06947930634218977
velocity_6h,0.051736788344700656
phone_mobile_valid,0.03255518671304982
device_distinct_emails_8w,0.031802353755518466
foreign_request,0.0032446008609123274
source,0.002724654065970652
device_fraud_count,0.0
