device_os,device_os,n,actual_rate,predicted_positive_rate,avg_score,tpr,fpr,precision,predicted_positive_rate_parity,tpr_parity,fpr_parity,flag_ppr_80pct,flag_tpr_80pct,flag_fpr_125pct
2,2,102783,0.00538,0.00971,0.01638,0.180832,0.008784,0.1002,0.241274,0.565242,2.110139,True,True,True
0,0,99903,0.005115,0.004985,0.011385,0.146771,0.004256,0.150602,0.123866,0.458775,1.022356,True,True,False
3,3,78944,0.025182,0.040244,0.037638,0.31992,0.033019,0.200189,1.0,1.0,7.931866,False,False,True
1,1,16180,0.014153,0.020334,0.022686,0.266376,0.016801,0.18541,0.505265,0.832633,4.036083,True,False,True
4,4,2190,0.012785,0.005936,0.011747,0.142857,0.004163,0.307692,0.147503,0.446541,1.0,True,True,False
